"","R.test","R.test","R.test","rmse.test","rmse.test","rmse.test","R.fit","R.fit","R.fit","rmse.fit","rmse.fit","rmse.fit"
"soa_32",0.789,0.686,0.701,1.992,2.427,2.295,0.92,1,1,0.873,0,0.049
"ccd3_43",0.885,0.879,0.878,1.511,1.595,1.624,0.95,1,1,1.243,0,0.04
"oacd3_50",0.882,0.936,0.928,1.621,1.252,1.323,0.961,1,1,1.12,0.036,0.071
"full_243",0.911,1,0.997,1.285,0,0.229,0.911,1,0.997,1.285,0,0.229
"lhd_50",0.405,0.363,0.34,3.19,3.303,3.27,0.864,1,0.999,0.572,0,0.043
"lhd2_50",0.597,0.502,0.557,3.191,3.445,3.37,0.956,1,0.986,0.161,0,0.092
"maximin_50",0.711,0.73,0.742,2.858,3.193,3.029,0.947,1,0.996,0.248,0,0.081
"maxpro_50",0.711,0.621,0.662,2.353,2.969,2.725,0.854,1,0.999,0.625,0,0.051
"ud_50",0.704,0.655,0.728,2.53,2.972,2.521,0.833,1,0.999,0.529,0,0.046
"lhd_100",0.738,0.741,0.776,2.469,2.492,2.312,0.888,1,0.997,0.532,0,0.098
"lhd2_100",0.721,0.812,0.778,2.471,2.102,2.319,0.891,1,0.993,0.514,0,0.169
"lhd_243",0.833,0.858,0.848,2.615,2.144,2.282,0.776,1,0.952,0.52,0,0.276
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.639,0.464,0.517,1.078,1.318,1.298,0.92,1,1,0.873,0,0.049
"ccd3_43",0.653,0.029,0.599,1.625,3.747,1.508,0.95,1,1,1.243,0,0.04
"oacd3_50",0.679,0.632,0.61,1.939,2.298,2.223,0.961,1,1,1.12,0.036,0.071
"full_243",0.715,0.761,0.785,1.295,1.353,1.103,0.911,1,0.997,1.285,0,0.229
"lhd_50",0.275,0.199,0.19,1.076,1.138,1.135,0.864,1,0.999,0.572,0,0.043
"lhd2_50",0.498,0.443,0.507,0.731,0.749,0.723,0.956,1,0.986,0.161,0,0.092
"maximin_50",0.635,0.629,0.637,0.662,0.657,0.646,0.947,1,0.996,0.248,0,0.081
"maxpro_50",0.689,0.71,0.745,0.741,0.689,0.609,0.854,1,0.999,0.625,0,0.051
"ud_50",0.723,0.757,0.784,0.621,0.546,0.531,0.833,1,0.999,0.529,0,0.046
"lhd_100",0.702,0.721,0.758,0.68,0.601,0.549,0.888,1,0.997,0.532,0,0.098
"lhd2_100",0.641,0.77,0.726,0.723,0.573,0.602,0.891,1,0.993,0.514,0,0.169
"lhd_243",0.776,1,0.952,0.52,0,0.276,0.776,1,0.952,0.52,0,0.276
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.772,0.644,0.699,1.602,1.953,1.864,0.92,1,1,0.873,0,0.049
"ccd3_43",0.835,0.603,0.83,1.569,2.88,1.567,0.95,1,1,1.243,0,0.04
"oacd3_50",0.82,0.829,0.829,1.787,1.85,1.83,0.961,1,1,1.12,0.036,0.071
"full_243",0.869,0.938,0.955,1.29,0.956,0.797,0.911,1,0.997,1.285,0,0.229
"lhd_50",0.418,0.346,0.361,2.381,2.47,2.447,0.864,1,0.999,0.572,0,0.043
"lhd2_50",0.629,0.527,0.584,2.315,2.493,2.437,0.956,1,0.986,0.161,0,0.092
"maximin_50",0.69,0.626,0.684,2.075,2.305,2.19,0.947,1,0.996,0.248,0,0.081
"maxpro_50",0.735,0.601,0.681,1.745,2.155,1.975,0.854,1,0.999,0.625,0,0.051
"ud_50",0.733,0.667,0.758,1.842,2.136,1.822,0.833,1,0.999,0.529,0,0.046
"lhd_100",0.743,0.758,0.795,1.811,1.812,1.68,0.888,1,0.997,0.532,0,0.098
"lhd2_100",0.734,0.826,0.79,1.821,1.541,1.695,0.891,1,0.993,0.514,0,0.169
"lhd_243",0.829,0.878,0.871,1.885,1.516,1.625,0.776,1,0.952,0.52,0,0.276
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.793,0.683,0.707,1.598,1.937,1.899,0.92,1,1,0.873,0,0.049
"ccd3_43",0.845,0.655,0.85,1.546,2.83,1.504,0.95,1,1,1.243,0,0.04
"oacd3_50",0.849,0.872,0.869,1.684,1.679,1.677,0.961,1,1,1.12,0.036,0.071
"full_243",0.888,0.954,0.961,1.217,0.845,0.752,0.911,1,0.997,1.285,0,0.229
"lhd_50",0.453,0.389,0.372,2.473,2.566,2.561,0.864,1,0.999,0.572,0,0.043
"lhd2_50",0.588,0.499,0.566,2.505,2.678,2.617,0.956,1,0.986,0.161,0,0.092
"maximin_50",0.742,0.746,0.764,2.158,2.383,2.266,0.947,1,0.996,0.248,0,0.081
"maxpro_50",0.745,0.67,0.71,1.8,2.217,2.032,0.854,1,0.999,0.625,0,0.051
"ud_50",0.74,0.701,0.756,1.936,2.229,1.92,0.833,1,0.999,0.529,0,0.046
"lhd_100",0.77,0.779,0.809,1.86,1.861,1.73,0.888,1,0.997,0.532,0,0.098
"lhd2_100",0.726,0.823,0.791,1.935,1.618,1.793,0.891,1,0.993,0.514,0,0.169
"lhd_243",0.841,0.885,0.868,2.004,1.574,1.721,0.776,1,0.952,0.52,0,0.276
